ability|способность
usual|обыкновенный
usually|обычно
valuable|ценный
value|ценность
vanish|исчезать
variety|разновидность
various|различный
very|очень
view|точка зрения
violence|жестокость
violent|насильственный
vision|зрение
visit|навещать
visit|посещение
voice|голос
vote|голосование
wait|ждать
wake|просыпаться
walk|прогулка 
walk|гулять
wall|стена
wander|бродить
want|хотеть
war|война
warm|теплый
warn|предупреждать
warning|предупреждение
wash|мыть
wash|мытье
waste|тратить
waste|излишняя трата
watch|наблюдать
watch|часы
water|вода
wave|махать
wave|волна
way|дорога
we|мы
weak|слабый
wealth|богатство
wear|носить (одежду)
weather|погода
week|неделя
weekend|выходные дни
weigh|весить
welcome|желанный
welcome|приветствовать
well|хорошо
well|здоровый
wet|мокрый
what|что
whatever|все что
wheel|колесо
when|когда
whenever|всякий раз когда
where|где
wherever|где бы ни
whether|ли
which|который
whichever|какой угодно
while|пока
whisper|шептать
whistle|свистеть
whistle|свисток
who|кто
whoever|кто бы ни
whole|весь
whom|кого
why|почему
wide|широкий
wide|широко
wild|дикий
will|завещание
will|выражает обещание
willing|готовый (сделать что-л.)
win|победить
wind|ветер
wind|виться
window|окно
wing|крыло
winter|зима
wipe|вытирать
wire|проволока
wise|мудрый
wish|желание
wish|желать
with|с
within|внутри
without|без
woman|женщина
wonder|удивляться
word|слово
work|работа
work|работать
work on|продолжать работать 
work out|решать
work up|to	отрабатывать
world|мир
worried|озабоченный
worry|беспокоить
worse|худший
worst|наихудший
worth|стоящий
worth|цена
would|выражает желание
wrap|заворачивать
write|писать
wrong|неправильный
year|год
yes|да
yesterday|вчера
yet|еще
you|ты
young|молодой
your|ваш
yours|ваш
yourself|себя
zero|ноль
